Index_1   ,Index_2   ,Filename_1               ,Filename_2               ,Str_sim        ,Eff_sim        ,Loose_sim      ,Connect   
8         ,10        ,008_docked_2.sdf         ,010_docked_4.sdf         ,0.86071        ,0.86071        ,0.86071        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:26,18:17,19:18,20:19,21:20,22:21,23:22,24:23
8         ,11        ,008_docked_2.sdf         ,011_docked_5.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:17,16:15,18:18,19:19,20:20,21:21,22:22,23:16,24:23
8         ,12        ,008_docked_2.sdf         ,012_docked_6.sdf         ,0.77880        ,0.77880        ,0.77880        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:24,18:18,19:19,20:20,21:21,22:17,23:22,24:23
8         ,13        ,008_docked_2.sdf         ,013_docked_7.sdf         ,0.70469        ,0.70469        ,0.70469        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:27,18:19,19:20,20:21,21:22,22:17,23:23,24:24
8         ,14        ,008_docked_2.sdf         ,014_docked_9.sdf         ,0.77880        ,0.77880        ,0.77880        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:26,18:18,19:19,20:20,21:21,22:17,23:22,24:23
9         ,10        ,009_docked_3.sdf         ,010_docked_4.sdf         ,0.36788        ,0.36788        ,0.36788        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,16:16,17:22,19:17,20:18,21:19,22:20,23:21,24:23
9         ,11        ,009_docked_3.sdf         ,011_docked_5.sdf         ,0.36788        ,0.36788        ,0.36788        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:17,16:15,19:18,20:19,21:20,22:21,23:22,24:23
9         ,12        ,009_docked_3.sdf         ,012_docked_6.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,17:22,19:18,20:19,21:21,22:20,23:17,24:23
9         ,13        ,009_docked_3.sdf         ,013_docked_7.sdf         ,0.30119        ,0.30119        ,0.30119        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,16:16,17:23,19:19,20:20,21:22,22:21,23:17,24:24
9         ,14        ,009_docked_3.sdf         ,014_docked_9.sdf         ,0.33287        ,0.33287        ,0.33287        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,16:16,17:22,19:18,20:19,21:21,22:20,23:17,24:23
10        ,11        ,010_docked_4.sdf         ,011_docked_5.sdf         ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:17,16:15,17:18,18:19,19:20,20:21,21:22,22:16,23:23
10        ,12        ,010_docked_4.sdf         ,012_docked_6.sdf         ,0.90484        ,0.90484        ,0.90484        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:18,18:19,19:21,20:20,21:17,22:22,23:23,24:26,25:25,26:24
10        ,13        ,010_docked_4.sdf         ,013_docked_7.sdf         ,0.81873        ,0.81873        ,0.81873        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:15,16:16,17:19,18:20,19:22,20:21,21:17,22:23,23:24,24:27,25:26,26:25
10        ,14        ,010_docked_4.sdf         ,014_docked_9.sdf         ,0.90484        ,0.90484        ,0.90484        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:18,18:19,19:21,20:20,21:17,22:22,23:23,24:26,25:25,26:24
11        ,12        ,011_docked_5.sdf         ,012_docked_6.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:16,16:22,17:15,18:18,19:19,20:20,21:21,22:17,23:23
11        ,13        ,011_docked_5.sdf         ,013_docked_7.sdf         ,0.67032        ,0.67032        ,0.67032        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:12,12:11,13:13,14:14,15:16,16:23,17:15,18:19,19:20,20:22,21:21,22:17,23:24
11        ,14        ,011_docked_5.sdf         ,014_docked_9.sdf         ,0.74082        ,0.74082        ,0.74082        ,No        ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:16,16:22,17:15,18:18,19:19,20:20,21:21,22:17,23:23
12        ,13        ,012_docked_6.sdf         ,013_docked_7.sdf         ,0.86071        ,0.86071        ,0.86071        ,Yes       ,0:0,1:1,2:2,3:3,4:4,5:5,6:6,7:7,8:8,9:9,10:10,11:11,12:12,13:13,14:14,15:15,16:16,17:17,18:19,19:20,20:21,21:22,22:23,23:24,24:25,25:26,26:27,28:18
